Block,Relative_Depth,H0_Descriptor,H1_Descriptor,Beta,R2,PHdim
1,0.1,341.80649095773697,16.119292676448822,0.8062056134939566,0.9979869806332906,5.160108184912855
2,0.2,498.19714295864105,30.07961976528168,0.8012770776372505,0.9979940581659278,5.032132116971372
3,0.3,659.7802137136459,46.413649678230286,0.7908776939488484,0.9962853163158912,4.781890649940513
4,0.4,771.6398853063583,50.13102149963379,0.7856328030892223,0.996278975418884,4.664892830670416
5,0.5,900.1313246488571,62.15753436088562,0.7711072503250379,0.9965572408719092,4.368858347064486
6,0.6,1020.9185429811478,71.17309331893921,0.769209830174581,0.99668296973451,4.332940180062474
7,0.7,1143.3093988895416,79.65604090690613,0.7647116035103291,0.997086958027956,4.250103340918045
8,0.8,1265.5296931266785,83.54013466835022,0.7697787902429288,0.99742054559056,4.343648446010676
9,0.9,1354.5738221406937,84.17242312431335,0.7717263566499251,0.9977798600847964,4.380707230691649
10,1.0,1411.6602493524551,84.44485354423523,0.7721528026887632,0.9979062086836388,4.388906301243683
